name,repeat
croissant-aligned_aligned,1
europarl_aligned,1
stack-edu_code,1
starcoder_olmomix_code,1
common-pile_arxiv-papers_en,0.5
common-pile_doab_en,1
common-pile_foodista_en,1
common-pile_github-archive_en,1
common-pile_libretexts_en,1
common-pile_oercommons_en,1
common-pile_peS2o_en,0.1
common-pile_pressbooks_en,1
common-pile_stackexchange_en,0.25
common-pile_news_en,1
common-pile_public-domain-review_en,1
common-pile_python-enhancement-proposals_en,1
common-pile_data-provenance-initiative_en,1
dclm-dolmino_en,1
fineweb-edu_en,0.
gutenberg_en,0
open-code-reasoning_en,1
stack-math-qa-1600k_en,1
culturax_fr,1
fineweb2_fr,1
hal-cea_fr,1
hplt2_fr,1
gutenberg_fr,1
finemath-filtered_3plus_math,1
infiwebmath-filtered_3plus_math,1
megamath-web-filtered_math,1
wikimedia-vikidia_ar,1
wikimedia-vikidia_ca,0.5
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,1
wikimedia-vikidia_it,1
wikimedia_nl,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_regional,1
fineweb2_ar,0.2
fineweb2_ca,0.05
fineweb2_de,0.2
fineweb2_es,0.2
fineweb2_it,0.2
fineweb2_nl,0.2
fineweb2_pt,0.2
fineweb2_regional,1
nemotron-posttraining-de_de,1
nemotron-posttraining-chat_en,1
nemotron-posttraining-stem_en,1
nemotron-posttraining-es_es,1
nemotron-posttraining-fr_fr,1
nemotron-posttraining-it_it,1
