name,total_tokens,total_sequences,min_tokens,max_tokens,mean_tokens,Q1_tokens,Q2_tokens,Q3_tokens,dataset,subset,language
fineweb2_acf,701167,963,98,4647,728.1069574247144,130.0,152.0,1311.0,fineweb2,,acf
croissant-aligned_aligned,23794614949,408028865,7,11966,58.316008964218746,31.0,50.0,75.0,croissant-aligned,,aligned
europarl_aligned,883128779,11600886,14,4549,76.12597684349282,49.0,68.0,94.0,europarl,,aligned
common-corpus_arabic-pd_ar,86530414,6678,92,25192,12957.534291704103,11173.0,13023.0,14709.75,common-corpus,arabic-pd,ar
culturax_edu1_ar,1785731931,3215362,18,61037,555.3750809395646,131.0,308.0,624.0,culturax,edu1,ar
culturax_edu2_ar,11818916151,17450904,18,122095,677.2666992495059,216.0,416.0,774.0,culturax,edu2,ar
culturax_edu3_ar,17963816882,21235374,18,152250,845.93833299098,292.0,493.0,887.0,culturax,edu3,ar
culturax_edu4_ar,1316010340,1387797,20,76824,948.2729390537665,399.0,664.0,1123.0,culturax,edu4,ar
eurovoc_filtered_ar,50549,2,280,50269,25274.5,12777.25,25274.5,37771.75,eurovoc,filtered,ar
fineweb2_edu1_ar,1650970264,2553022,75,130132,646.6729483725561,178.0,297.0,644.0,fineweb2,edu1,ar
fineweb2_edu2_ar,8733265939,14277140,73,665723,611.6957555224645,204.0,352.0,677.0,fineweb2,edu2,ar
fineweb2_edu3_ar,16447297864,22293284,72,664710,737.7691803504589,238.0,401.0,737.0,fineweb2,edu3,ar
fineweb2_edu4_ar,1452119498,1584128,74,195943,916.6680331387363,390.0,657.0,1113.0,fineweb2,edu4,ar
vikidia_ar,10885,166,15,2370,65.57228915662651,28.0,40.0,54.0,vikidia,,ar
wikimedia_ar,1087280470,1460709,5,1215892,744.3511815152779,143.0,260.0,537.0,wikimedia,,ar
fineweb2_br,43694105,51689,94,183281,845.3269554450657,234.0,419.0,740.0,fineweb2,,br
wikimedia_br,82766231,148473,5,492456,557.4497113953379,94.0,198.0,459.0,wikimedia,,br
common-corpus_catalan-pd_ca,20314395,1601,301,25083,12688.566520924422,11861.0,13167.0,14396.0,common-corpus,catalan-pd,ca
eurovoc_filtered_ca,313137,24,146,45545,13047.375,6312.25,11403.0,15265.0,eurovoc,filtered,ca
fineweb2_ca,7808056666,10717906,82,181996,728.5057982408131,268.0,464.0,826.0,fineweb2,,ca
vikidia_ca,114320,560,11,11542,204.14285714285714,36.75,75.0,167.0,vikidia,,ca
