name,repeat
claire_open_en,0
claire_open_fr,.2
common-corpus_arabic-pd_ar,0
common-corpus_bnl-newspapers-1841-1879_fr,0
common-corpus_catalan-pd_ca,0
common-corpus_dutch-pd_nl,0
common-corpus_english-pd_en,0
common-corpus_eurlex_multi,0
common-corpus_gatt-library_multi,0
common-corpus_german-pd_de,0
common-corpus_german-science-pile_de,0
common-corpus_italian-pd_it,0
common-corpus_marianne-europe_multi,0
common-corpus_oecd_multi,0
common-corpus_open-science-pile_de,0
common-corpus_portuguese-pd_pt,0
common-corpus_spanish-pd-books_es,0
common-corpus_spanish-science-pile_es,0
common-corpus_tedeutenders_multi,0
common-corpus_wto_multi,0
common-pile_arxiv-papers_en,0.05
common-pile_data-provenance-initiative_en,.2
common-pile_doab_en,.2
common-pile_foodista_en,.2
common-pile_github-archive_en,.2
common-pile_libretexts_en,.2
common-pile_oercommons_en,.2
common-pile_peS2o_en,0.01
common-pile_pressbooks_en,.2
common-pile_stackexchange_en,0.025
common-pile_news_en,.2
common-pile_public-domain-review_en,.2
common-pile_python-enhancement-proposals_en,.2
croissant-aligned_aligned,0
culturax_ar,0
culturax_de,0
culturax_es,0
culturax_fr,0
culturax_it,0
culturax_nl,0
culturax_pt,0
dclm-dolmino_en,0.075
europarl_aligned,1
europarl_multi,0
eurovoc_filtered_multi,0
finemath-filtered_3plus_math,0
finemath-filtered_4plus_math,1
fineweb-edu_en,0.075
fineweb2_ar,0
fineweb2_ca,0.002
fineweb2_de,0
fineweb2_edu3+_ar,0.1
fineweb2_edu3+_de,0.1
fineweb2_edu3+_es,0.1
fineweb2_edu3+_fr,1
fineweb2_edu3+_it,0.1
fineweb2_edu3+_nl,0.1
fineweb2_edu3+_pt,0.1
fineweb2_es,0
fineweb2_fr,0
fineweb2_hq_ar,0
fineweb2_hq_de,0
fineweb2_hq_es,0
fineweb2_hq_fr,1
fineweb2_hq_it,0
fineweb2_hq_nl,0
fineweb2_hq_pt,0
fineweb2_it,0
fineweb2_nl,0
fineweb2_pt,0
fineweb2_regional,0.1
gallica_monographies_fr,0
gallica_press_fr,0
gutenberg_de,0
gutenberg_en,0
gutenberg_es,0
gutenberg_fr,0.2
gutenberg_it,0
gutenberg_nl,0
gutenberg_pt,0
hal-cea_full-filtered_fr,0.2
hplt2_fr,0
infiwebmath-filtered_3plus_math,0
infiwebmath-filtered_4plus_math,1
insee_fr,0.2
math-pile_math,0
megamath-web-filtered_math,0
nemotron-posttraining-chat_en,1
nemotron-posttraining-code_code,1
nemotron-posttraining-de-think_de,1
nemotron-posttraining-de_de,0
nemotron-posttraining-es-think_es,1
nemotron-posttraining-es_es,0
nemotron-posttraining-fr-think_fr,1
nemotron-posttraining-fr_fr,0
nemotron-posttraining-it-think_it,1
nemotron-posttraining-it_it,0
nemotron-posttraining-math_math,1
nemotron-posttraining-stem_en,1
numina-math_en,0
open-code-reasoning_en,1
open-math-instruct_math,2
open-r1-codeforces-solutions-decontaminated_en,0
open-r1-codeforces-solutions-py-decontaminated_en,0
open-r1-codeforces-solutions-short-and-long-decontaminated_en,0
open-r1-codeforces-solutions-w-editorials-decontaminated_en,0
open-r1-codeforces-solutions-w-editorials-py-decontaminated_en,0
open-r1-math-llama_en,0
open-r1-math_en,0
open-thoughts-code_en,1
open-thoughts-science_en,1
opendata_fr,0.2
opene-edition_fr,0
parlement_fr,0.2
stack-edu_code,0.3
stack-math-qa-1600k_en,1
starcoder-data_code,0
starcoder_olmomix_code,0
synthetic-fineweb_extract-knowledge-easy_fr,0
synthetic-fineweb_extract-knowledge-hard_fr,0.2
synthetic-fineweb_extract-knowledge-medium_fr,0.2
theses_fr,0
wikimedia-vikidia_ar,1
wikimedia-vikidia_ca,0.2
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,0
wikimedia-vikidia_it,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_regional,1
wikimedia_nl,1
wikipedia-synthetic-qa_fr,1
youtube_fr,0
