tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
C4AI Command R+,32000,Arabic,Wikipedia.ar,2.117,2.857,1682.474914312363,1655638539,273803280,579580302
C4AI Command R+,32000,Code,c++,3.778,2.938,465.4217381477356,554859434,49992022,188845360
C4AI Command R+,32000,Code,javascript,6.037,2.681,737.3890507221222,809294040,49999987,301843218
C4AI Command R+,32000,Code,python,3.572,3.308,458.9619858264923,590864751,49999990,178624765
C4AI Command R+,32000,Code,tex,3.663,2.648,431.74664974212646,484856401,49995100,183115205
C4AI Command R+,32000,English,Europarl.en,1.176,5.123,215.75457859039307,339370705,56334280,66246361
C4AI Command R+,32000,English,Wikipedia.en,1.629,3.381,2194.996122121811,2753108852,499999890,814378156
C4AI Command R+,32000,French,Europarl.fr,1.409,4.548,266.1567199230194,338630065,52845204,74450277
C4AI Command R+,32000,French,Wikipedia.fr,1.756,3.215,2412.5183687210083,2823112420,499999927,878127957
C4AI Command R+,32000,German,Europarl.de,1.597,4.539,250.288066148758,326931605,45108933,72032648
C4AI Command R+,32000,German,Wikipedia.de,1.911,3.431,2686.4305925369263,3278956474,499999919,955564041
C4AI Command R+,32000,Italian,Wikipedia.it,1.751,3.257,2384.5945637226105,2851639813,499999419,875491420
C4AI Command R+,32000,Spanish,Europarl.es,1.279,4.846,246.51458168029785,324518110,52369273,66963230
C4AI Command R+,32000,Spanish,Wikipedia.es,1.565,3.722,2303.9470682144165,2912972152,499999897,782565098
GPT-4,32000,Code,c++,3.184,3.486,111.69771099090576,554859434,49992022,159174237
GPT-4,32000,Code,javascript,5.014,3.228,158.61896991729736,809294040,49999987,250715696
GPT-4,32000,Code,tex,3.335,2.908,89.72494864463806,484856401,49995100,166722078
GPT-4,32000,English,Europarl.en,1.175,5.127,33.020912885665894,339370705,56334280,66190627
GPT-4,32000,English,Wikipedia.en,1.538,3.581,553.2976582050323,2753108852,499999890,768853856
GPT-4,32000,French,Europarl.fr,1.672,3.833,45.85313129425049,338630065,52845204,88347342
GPT-4,32000,French,Wikipedia.fr,1.856,3.042,659.2245535850525,2823112420,499999927,927943204
GPT-4,32000,German,Europarl.de,1.949,3.719,43.571595191955566,326931605,45108933,87909535
GPT-4,32000,German,Wikipedia.de,2.116,3.099,710.2567582130432,3278956474,499999919,1057912846
GPT-4,32000,Italian,Wikipedia.it,1.898,3.005,657.5301351547241,2851639813,499999419,949002317
GPT-4,32000,Spanish,Europarl.es,1.565,3.96,43.34251141548157,324518110,52369273,81955923
GPT-4,32000,Spanish,Wikipedia.es,1.755,3.319,576.394793510437,2912972152,499999897,877576699
Gemma,32000,Arabic,Wikipedia.ar,2.27,2.664,976.7742352485656,1655638539,273803280,621516130
Gemma,32000,Code,c++,3.892,2.852,294.36571073532104,554859434,49992022,194553188
Gemma,32000,Code,javascript,6.149,2.632,465.3707675933838,809294040,49999987,307459955
Gemma,32000,Code,python,3.74,3.16,314.2725100517273,590864751,49999990,186982280
Gemma,32000,Code,tex,3.537,2.742,259.5569894313812,484856401,49995100,176816165
Gemma,32000,English,Europarl.en,1.175,5.126,226.7859287261963,339370705,56334280,66199515
Gemma,32000,English,Wikipedia.en,1.622,3.395,1547.838186264038,2753108852,499999890,810958739
Gemma,32000,French,Europarl.fr,1.41,4.546,232.0304775238037,338630065,52845204,74492491
Gemma,32000,French,Wikipedia.fr,1.781,3.17,1506.242298603058,2823112420,499999927,890493609
Gemma,32000,German,Europarl.de,1.49,4.865,226.4965229034424,326931605,45108933,67207400
Gemma,32000,German,Wikipedia.de,1.907,3.439,1724.938457250595,3278956474,499999919,953479937
Gemma,32000,Italian,Wikipedia.it,1.787,3.191,1511.998164653778,2851639813,499999419,893549801
Gemma,32000,Spanish,Europarl.es,1.27,4.878,220.73746848106384,324518110,52369273,66524630
Gemma,32000,Spanish,Wikipedia.es,1.583,3.679,1550.9699404239657,2912972152,499999897,791734685
Llama-3,32000,Code,c++,3.183,3.487,315.5556514263153,554859434,49992022,159129978
Llama-3,32000,Code,javascript,4.995,3.241,479.95121693611145,809294040,49999987,249730996
Llama-3,32000,Code,python,3.005,3.933,304.8378586769104,590864751,49999990,150227829
Llama-3,32000,Code,tex,3.282,2.955,304.19984126091003,484856401,49995100,164097218
Llama-3,32000,English,Europarl.en,1.175,5.128,162.92067694664,339370705,56334280,66175779
Llama-3,32000,English,Wikipedia.en,1.533,3.591,1604.0458636283877,2753108852,499999890,766562808
Llama-3,32000,French,Europarl.fr,1.67,3.838,212.87596726417544,338630065,52845204,88235856
Llama-3,32000,French,Wikipedia.fr,1.849,3.053,1848.1175739765167,2823112420,499999927,924671370
Llama-3,32000,German,Europarl.de,1.943,3.73,203.60078811645508,326931605,45108933,87648718
Llama-3,32000,German,Wikipedia.de,2.104,3.116,2082.3649320602417,3278956474,499999919,1052222784
Llama-3,32000,Italian,Wikipedia.it,1.892,3.014,1865.4646096229555,2851639813,499999419,946244540
Llama-3,32000,Spanish,Europarl.es,1.563,3.965,200.1749126911164,324518110,52369273,81853233
Llama-3,32000,Spanish,Wikipedia.es,1.75,3.329,1815.4011189937592,2912972152,499999897,874913925
Lucie-7B,32000,Arabic,Wikipedia.ar,10.523,0.575,1917.603316783905,1655638539,273803280,2881112641
Lucie-7B,32000,Code,c++,4.13,2.687,384.1240298748016,554859434,49992022,206469672
Lucie-7B,32000,Code,javascript,6.722,2.408,613.9432611465454,809294040,49999987,336114143
Lucie-7B,32000,Code,python,4.002,2.953,403.48676657676697,590864751,49999990,200099748
Lucie-7B,32000,Code,tex,3.88,2.499,334.43700408935547,484856401,49995100,193990190
Lucie-7B,32000,English,Europarl.en,1.225,4.919,270.8131256103516,339370705,56334280,68994922
Lucie-7B,32000,English,Wikipedia.en,1.697,3.244,1752.0988945961,2753108852,499999890,848696582
Lucie-7B,32000,French,Europarl.fr,1.356,4.724,288.1275386810303,338630065,52845204,71676409
Lucie-7B,32000,French,Wikipedia.fr,1.735,3.255,1816.2927691936493,2823112420,499999927,867285042
Lucie-7B,32000,German,Europarl.de,1.627,4.455,270.5373783111572,326931605,45108933,73383642
Lucie-7B,32000,German,Wikipedia.de,2.02,3.246,2018.310083150864,3278956474,499999919,1010002037
Lucie-7B,32000,Italian,Wikipedia.it,1.867,3.055,1816.4053149223328,2851639813,499999419,933485193
Lucie-7B,32000,Spanish,Europarl.es,1.4,4.425,264.20822644233704,324518110,52369273,73342997
Lucie-7B,32000,Spanish,Wikipedia.es,1.722,3.383,1828.0622844696045,2912972152,499999897,861054775
NEW 128k-arab,32000,Arabic,Wikipedia.ar,1.744,3.466,1377.6541657447815,1655638539,273803280,477639952
NEW 128k-arab,32000,Code,c++,3.522,3.151,414.4731698036194,554859434,49992022,176094289
NEW 128k-arab,32000,Code,javascript,5.754,2.813,632.727032661438,809294040,49999987,287680524
NEW 128k-arab,32000,Code,python,3.336,3.543,397.5449798107147,590864751,49999990,166790033
NEW 128k-arab,32000,Code,tex,3.566,2.72,386.796222448349,484856401,49995100,178264853
NEW 128k-arab,32000,English,Europarl.en,1.188,5.071,205.3713698387146,339370705,56334280,66919480
NEW 128k-arab,32000,English,Wikipedia.en,1.663,3.311,1947.5530462265008,2753108852,499999890,831566856
NEW 128k-arab,32000,French,Europarl.fr,1.227,5.221,261.44796657562256,338630065,52845204,64863037
