language,doc_count,word_count,char_count
fra_Latn,1606820,874396509,5418773373
arb_Arab,1859531,909341415,5358080818
eng_Latn,1110155,860088996,5303003217
deu_Latn,364138,173385550,1227193915
nld_Latn,386888,179770988,1134600052
ita_Latn,339416,174076550,1122443999
spa_Latn,331877,178501101,1084507164
por_Latn,360122,174914579,1075407904
code,1530382,572407929,5816523762
eus_Latn,45106,16323645,127311825
acf_Latn,1052,418687,2180406
gcf_Latn,1027,399464,2035907
pcd_Latn,1191,306085,1718225
rcf_Latn,1716,444160,2114411
tah_Latn,393,440298,1994161
oci_Latn,1026,475134,2841659
mbf_Latn,768,481408,3233371
bre_Latn,1070,385883,2100167
cos_Latn,737,463969,2730204
crs_Latn,89,299351,1585235
cat_Latn,971,388032,2342504
gcr_Latn,6,840,4905
