training_steps,training_tokens,training_loss,walltime,gputime,learning_rate
340,1426063360,1.8752785968780517,271.48521661758423,34750.10772705078,6.852795922895893e-05
615,2579496960,1.8619483995437622,487.38903164863586,62385.79605102539,6.836811371613294e-05
990,4152360960,1.8527550888061524,778.2483220100403,99615.78521728516,6.815014785388485e-05
1255,5263851520,1.8490331315994262,984.3192303180695,125992.86148071289,6.79961231071502e-05
1565,6564085760,1.8484376382827759,1236.64248585701,158290.23818969727,6.781593401683494e-05
1820,7633633280,1.8470539093017577,1436.8834590911865,183921.08276367188,6.766772276023403e-05
2175,9122611200,1.844295244216919,1719.7071778774261,220122.51876831055,6.746137660229579e-05
2525,10590617600,1.84140860080719,1992.9150831699371,255093.13064575195,6.725794082740322e-05
2825,11848908800,1.8441841506958008,2225.127115249634,284816.2707519531,6.708357250317931e-05
3220,13505658880,1.8412503719329834,2529.878270626068,323824.4186401367,6.685397966066375e-05
3525,14784921600,1.8416464710235596,2764.3953442573547,353842.6040649414,6.667670095339417e-05
3800,15938355200,1.8385812282562255,2980.7422292232513,381535.0053405762,6.651685544056818e-05
4080,17112760320,1.8392703056335449,3193.725188970566,408796.8241882324,6.635410682065412e-05
4340,18203279360,1.8362656497955323,3397.5804710388184,434890.30029296875,6.620298518100753e-05
4610,19335741440,1.838455195426941,3603.598792552948,461260.64544677734,6.604605005122721e-05
4875,20447232000,1.8363566303253174,3813.6308133602142,488144.7441101074,6.589202530449256e-05
5175,21705523200,1.8364322996139526,4048.6233508586884,518223.7889099121,6.571764970431104e-05
5450,22858956800,1.8348717308044433,4260.30784368515,545319.4039916992,6.555780419148505e-05
5720,23991418880,1.8322723197937012,4473.578852415085,572618.0931091309,6.540086906170473e-05
6095,25564282880,1.8325909614562987,4764.4090712070465,609844.361114502,6.518290319945663e-05
6360,26675773440,1.8346980428695678,4964.578282833099,635466.0202026367,6.502887845272198e-05
6665,27955036160,1.831362361907959,5209.119236469269,666767.2622680664,6.48515997454524e-05
6950,29150412800,1.8307290649414063,5428.697091341019,694873.2276916504,6.468594074249268e-05
7255,30429675520,1.8296824598312378,5660.494846105576,724543.3403015137,6.45086620352231e-05
7500,31457280000,1.8310826301574707,5846.677148342133,748374.674987793,6.43662569927983e-05
7865,32988200960,1.8326263332366943,6125.09731054306,784012.4557495117,6.415410462068394e-05
8130,34099691520,1.8293017053604126,6324.737994670868,809566.4633178711,6.400007987394929e-05
8385,35169239040,1.8293970441818237,6526.140996217728,835346.0475158691,6.385186134139076e-05
8640,36238786560,1.828043713569641,6722.9436457157135,860536.7866516113,6.370364280883223e-05
8880,37245419520,1.8254284048080445,6908.999947309494,884351.9932556152,6.356414087349549e-05
9140,38335938560,1.829421787261963,7105.058535337448,909447.4925231934,6.34130192338489e-05
9505,39866859520,1.8278192281723022,7385.770004987717,945378.5606384277,6.320086686173454e-05
9820,41188065280,1.8303389263153076,7628.062015771866,976391.9380187988,6.301777466433123e-05
10130,42488299520,1.8295628643035888,7863.464497327805,1006523.455657959,6.283759284997359e-05
10415,43683676160,1.8293901586532593,8086.684278249741,1035095.5876159668,6.267193384701386e-05
10725,44983910400,1.8306189632415772,8325.354167222977,1065645.333404541,6.249175203265622e-05
11080,46472888320,1.827677273750305,8596.568750143051,1100360.8000183105,6.22854131506756e-05
11360,47647293440,1.8235723209381103,8810.314351320267,1127720.2369689941,6.212266453076154e-05
11670,48947527680,1.8279132986068725,9057.40006685257,1159347.208557129,6.194247544044629e-05
12025,50436505600,1.8255649566650392,9332.573479413986,1194569.4053649902,6.173613655846566e-05
12290,51547996160,1.8256416416168213,9544.241254329681,1221662.8805541992,6.15821045357734e-05
12535,52575600640,1.826194429397583,9729.128816127777,1245328.4884643555,6.14396994933486e-05
12855,53917777920,1.823488507270813,9980.313079357147,1277480.0741577148,6.125370418885723e-05
13145,55134126080,1.827285795211792,10205.843793153763,1306348.0055236816,6.108514207880944e-05
13580,56958648320,1.8276759815216064,10549.179124832153,1350294.9279785156,6.0832302551716566e-05
14010,58762199040,1.828284707069397,10879.137287139893,1392529.5727539062,6.058236976969056e-05
14300,59978547200,1.8238766193389893,11103.612229824066,1421262.3654174805,6.041380765964277e-05
14585,61173923840,1.827179455757141,11327.01094031334,1449857.4003601074,6.024815229466185e-05
14835,62222499840,1.8249352407455444,11517.364294528961,1474222.629699707,6.010284414514899e-05
15170,63627591680,1.8246316766738893,11773.702198266983,1507033.8813781738,5.9908124967478216e-05
15495,64990740480,1.8237904119491577,12020.608630180359,1538637.904663086,5.971922291791998e-05
15840,66437775360,1.8175330209732055,12282.254431247711,1572128.567199707,5.9518693888094276e-05
16110,67570237440,1.8232841968536377,12496.47471666336,1599548.7637329102,5.9361758758313954e-05
16475,69101158400,1.8203981256484985,12782.730033397675,1636189.4442749023,5.9149602748220786e-05
16815,70527221760,1.8178185939788818,13042.564595937729,1669448.2682800293,5.895198046346195e-05
17090,71680655360,1.8242167615890503,13260.899268388748,1697395.1063537598,5.879213858861476e-05
17320,72645345280,1.8237226724624633,13436.411142349243,1719860.6262207031,5.865845378139056e-05
17565,73672949760,1.8218525409698487,13625.54965019226,1744070.3552246094,5.8516048738965765e-05
17855,74889297920,1.8222080373764038,13844.989578723907,1772158.6660766602,5.8347490266896784e-05
18145,76105646080,1.8217066049575805,14069.046779870987,1800837.9878234863,5.8178928156849e-05
18430,77301022720,1.8208409023284913,14287.219685316086,1828764.119720459,5.8013272791868076e-05
18635,78160855040,1.820493974685669,14449.979430437088,1849597.3670959473,5.78941180719994e-05
18955,79503032320,1.819970769882202,14700.015270709991,1881601.954650879,5.770812276750803e-05
19185,80467722240,1.8174284744262694,14892.890546321869,1906289.9899291992,5.7574434322305024e-05
19510,81830871040,1.8210423946380616,15142.7285861969,1938269.2590332031,5.7385532272746786e-05
19725,82732646400,1.8183580732345581,15309.310518503189,1959591.7463684082,5.726056406274438e-05
19965,83739279360,1.8205558729171754,15495.867401361465,1983471.0273742676,5.712106576538645e-05
20235,84871741440,1.8197945594787597,15704.036194086075,2010116.6328430176,5.6964130635606125e-05
20470,85857402880,1.8171257972717285,15883.691467046738,2033112.5077819824,5.682753908331506e-05
20765,87094722560,1.819145679473877,16117.206860780716,2063002.4781799316,5.665607386617921e-05
21045,88269127680,1.8227122116088867,16330.564028024673,2090312.1955871582,5.649332524626516e-05
21310,89380618240,1.8162191343307494,16531.637099981308,2116049.5487976074,5.6339293223572895e-05
21575,90492108800,1.8201223039627075,16743.118019104004,2143119.1064453125,5.618526483885944e-05
21915,91918172160,1.8193349742889404,17010.09502530098,2177292.1632385254,5.59876425541006e-05
22295,93512007680,1.8193669366836547,17318.68303179741,2216791.4280700684,5.5766769946785644e-05
22645,94980014080,1.8145217561721803,17589.80771780014,2251495.387878418,5.5563334171893075e-05
22950,96259276800,1.8209965085983277,17820.081560611725,2280970.439758301,5.5386055464623496e-05
23230,97433681920,1.8170909070968628,18035.364682674408,2308526.679382324,5.522330684470944e-05
23525,98671001600,1.8137951040267943,18269.522194862366,2338498.840942383,5.5051841627573594e-05
23835,99971235840,1.8194892597198487,18509.53775882721,2369220.833129883,5.487165617523715e-05
24095,101061754880,1.8161807012557984,18711.41701221466,2395061.3775634766,5.472053453559056e-05
24335,102068387840,1.8142323780059815,18897.950870990753,2418937.7114868164,5.458103623823263e-05
24610,103221821440,1.817019362449646,19109.09269452095,2445963.8648986816,5.442119436338544e-05
24905,104459141120,1.818231782913208,19337.16958642006,2475157.7070617676,5.4249725508270785e-05
25180,105612574720,1.8183190107345581,19551.88754916191,2502641.6062927246,5.40898836334236e-05
25535,107101552640,1.8173581266403198,19842.152470350266,2539795.516204834,5.388354475144297e-05
25845,108401786880,1.8141128301620484,20083.959996700287,2570746.8795776367,5.3703359299106523e-05
26205,109911736320,1.8109670734405519,20363.724504709244,2606556.736602783,5.349411003408022e-05
26500,111149056000,1.8187006616592407,20587.729420661926,2635229.3658447266,5.3322644816944376e-05
26880,112742891520,1.8154515790939332,20879.299001693726,2672550.272216797,5.3101772209629416e-05
27145,113854382080,1.810820655822754,21085.254843235016,2698912.619934082,5.294774382491596e-05
27430,115049758720,1.815186514854431,21304.199415445328,2726937.525177002,5.278208845993504e-05
27720,116266106880,1.8127817869186402,21534.218043088913,2756379.909515381,5.261352634988725e-05
28010,117482455040,1.8175091934204102,21756.12571835518,2784784.091949463,5.244496787781827e-05
28345,118887546880,1.8138373804092407,22020.51003932953,2818625.2850341797,5.22502523381263e-05
28665,120229724160,1.8092885732650756,22275.825972557068,2851305.7244873047,5.2064253395656124e-05
29015,121697730560,1.8103555631637573,22546.535127162933,2885956.4962768555,5.1860817620763555e-05
29275,122788249600,1.8157218933105468,22749.018486738205,2911874.3663024902,5.1709695981116965e-05
29580,124067512320,1.814298095703125,22988.403310775757,2942515.623779297,5.1532417273847386e-05
29860,125241917440,1.8151006412506103,23203.25780272484,2970016.9987487793,5.136966865393333e-05
30175,126563123200,1.814762706756592,23446.940939426422,3001208.440246582,5.118657645653002e-05
30430,127632670720,1.8102179145812989,23646.029082536697,3026691.7225646973,5.103835792397149e-05
30700,128765132800,1.81126904964447,23853.99769306183,3053311.704711914,5.088142279419117e-05
30980,129939537920,1.813309292793274,24070.11940598488,3080975.2839660645,5.071867417427711e-05
31335,131428515840,1.8124126386642456,24343.78574371338,3116004.5751953125,5.0512335292296484e-05
31630,132665835520,1.8144707918167113,24572.81158566475,3145319.882965088,5.034086643718183e-05
31970,134091898880,1.8112752389907838,24842.44114279747,3179832.466278076,5.0143244152422994e-05
32280,135392133120,1.8129529428482056,25077.30993628502,3209895.6718444824,4.996305870008655e-05
32595,136713338880,1.8128360462188722,25319.554255008698,3240902.9446411133,4.9779970140662044e-05
32910,138034544640,1.8113937664031983,25567.348017692566,3272620.5462646484,4.959687794325873e-05
33111,138877599744,1.8143862982590993,25720.569722890854,3292232.9245300293,4.948004789184779e-05
33386,140031033344,1.8090779066085816,25948.829872846603,3321450.2237243652,4.93202060170006e-05
33771,141645840384,1.813771023750305,26254.978685617447,3360637.271759033,4.9096426664618775e-05
34046,142799273984,1.8111648225784303,26471.544248104095,3388357.663757324,4.893658478977159e-05
34341,144036593664,1.808509840965271,26694.352643728256,3416877.138397217,4.876511957263574e-05
34626,145231970304,1.8085744619369506,26925.39853477478,3446451.012451172,4.859946420765482e-05
34956,146616090624,1.8132192087173462,27196.575488090515,3481161.662475586,4.8407655413029715e-05
35226,147748552704,1.8114760875701905,27409.927000045776,3508470.6560058594,4.8250716645270586e-05
35556,149132673024,1.8075531148910522,27668.53768491745,3541572.8236694336,4.805890785064548e-05
35851,150369992704,1.8085683679580689,27899.537049770355,3571140.7423706055,4.7887442633509636e-05
36146,151607312384,1.8136493349075318,28124.69817662239,3599961.366607666,4.771597377839498e-05
36411,152718802944,1.809995608329773,28332.401449918747,3626547.3855895996,4.7561945393681526e-05
36716,153998065664,1.811597547531128,28571.683367729187,3657175.471069336,4.738466668641195e-05
37051,155403157504,1.8099854040145873,28824.95631480217,3689594.4082946777,4.718995114671998e-05
37331,156577562624,1.8087983846664428,29040.399694681168,3717171.1609191895,4.702720252680592e-05
37636,157856825344,1.8071035575866699,29280.661587953568,3747924.6832580566,4.684992381953634e-05
37926,159073173504,1.8070609951019287,29510.0675239563,3777288.6430664062,4.6681361709488556e-05
38236,160373407744,1.8063208913803102,29752.638063669205,3808337.672149658,4.650117625715211e-05
38516,161547812864,1.8106288051605224,29973.998074769974,3836671.7535705566,4.6338427637238055e-05
38776,162638331904,1.8061703062057495,30175.81650876999,3862504.5131225586,4.6187305997591466e-05
39051,163791765504,1.8070665693283081,30390.4966237545,3889983.567840576,4.602746412274428e-05
39366,165112971264,1.808028268814087,30636.508273124695,3921473.058959961,4.5844371925340965e-05
39616,166161547264,1.808585376739502,30829.828382968903,3946218.0330200195,4.56990601378493e-05
39961,167608582144,1.803465781211853,31094.40026783943,3980083.2342834473,4.5498534746002406e-05
40191,168573272064,1.8102022457122802,31276.55023598671,4003398.430206299,4.53648463007994e-05
40476,169768648704,1.8073861837387084,31501.641429901123,4032210.1030273438,4.5199194573797286e-05
40776,171026939904,1.8088767147064209,31730.828144788742,4061546.002532959,4.5024818973615766e-05
41086,172327174144,1.8093152332305908,31973.898064136505,4092658.9522094727,4.484463352127932e-05
