training_steps,training_tokens,training_loss,walltime,gputime,learning_rate
1895,7948206080,5.447348766326904,5927.280567884445,3034767.650756836,0.0002841079549398273
4150,17406361600,3.120064296722412,12518.422992229462,6409432.572021484,0.0003000000142492354
6695,28080865280,2.7043356609344484,20370.28328537941,10429585.042114258,0.0003000000142492354
9225,38692454400,2.5033619880676268,27970.057998895645,14320669.69543457,0.0003000000142492354
12255,51401195520,2.396542539596558,37085.42421460152,18987737.197875977,0.0003000000142492354
15030,63040389120,2.3323276615142823,45333.76660823822,23210888.50341797,0.0003000000142492354
17320,72645345280,2.305052146911621,52254.855118989944,26754485.82092285,0.0003000000142492354
18920,79356231680,2.2639685440063477,57225.37096261978,29299389.932861328,0.0003000000142492354
21335,89485475840,2.2279092693328857,64701.9055223465,33127375.627441406,0.0003000000142492354
23755,99635691520,2.2306345081329346,71905.05756497383,36815389.4732666,0.0003000000142492354
26055,109282590720,2.1964873313903808,78769.45412993431,40329960.51452637,0.0003000000142492354
28705,120397496320,2.16977765083313,86719.02511835098,44400140.8605957,0.0003000000142492354
30495,127905300480,2.1529211616516113,92113.31730008125,47162018.4576416,0.0003000000142492354
32690,137111797760,2.170919246673584,98656.95769071579,50512362.337646484,0.0003000000142492354
36270,152127406080,2.132544231414795,109561.50490522385,56095490.51147461,0.0003000000142492354
38610,161942077440,2.111489887237549,116397.9301404953,59595740.231933594,0.0003000000142492354
41275,173119897600,2.098146343231201,124322.49285817146,63653116.34338379,0.0003000000142492354
43180,181110046720,2.1460972690582274,130039.3857216835,66580165.48950195,0.0003000000142492354
46235,193923645440,2.089103727340698,139178.25031399727,71259264.1607666,0.0003000000142492354
49160,206191984640,2.076453380584717,147962.26724743843,75756680.83068848,0.0003000000142492354
51555,216237342720,2.074834985733032,155354.67549204826,79541593.85192871,0.0003000000142492354
53930,226198814720,2.0589326286315917,162334.21007156372,83115115.55664062,0.0003000000142492354
56075,235195596800,2.050215482711792,168932.22777962685,86493300.62316895,0.0003000000142492354
58590,245744271360,2.063657035827637,176506.29684567451,90371223.98498535,0.0003000000142492354
60530,253881221120,2.0424679279327393,182413.92199993134,93395928.06396484,0.0003000000142492354
62770,263276462080,2.035730981826782,189319.75124120712,96931712.63549805,0.0003000000142492354
65375,274202624000,2.039618549346924,197056.447814703,100892901.28112793,0.0003000000142492354
67870,284667412480,2.0271164321899415,204674.04088258743,104793108.93188477,0.0003000000142492354
71380,299389419520,2.0227127122879027,215542.48476862907,110357752.20153809,0.0003000000142492354
73790,309497692160,2.016870403289795,222852.56856322289,114100515.10437012,0.0003000000142492354
76446,320637763584,2.009120225906372,230496.92641425133,118014426.32409668,0.0003000000142492354
79156,332004327424,2.0038955068588256,238495.5995695591,122109746.97961426,0.0003000000142492354
81111,340204191744,2.021902437210083,244391.2448720932,125128317.37451172,0.0003000000142492354
83776,351382011904,2.0005046272277833,252140.5293624401,129095951.03356934,0.0003000000142492354
86246,361741942784,2.0014306783676146,259400.52058267593,132813066.53833008,0.0003000000142492354
88661,371871186944,1.993627109527588,266806.03767085075,136604691.2874756,0.0003000000142492354
91841,385209073664,1.9877145051956178,276009.36748433113,141316796.15197754,0.0003000000142492354
93886,393786425344,1.98978750705719,282256.96933317184,144515568.29858398,0.0003000000142492354
95741,401566859264,1.9826083707809448,287729.3192307949,147317411.446167,0.0003000000142492354
97751,409997410304,1.9811921548843383,293664.1400747299,150356039.71826172,0.0003000000142492354
100576,421846319104,1.9799091386795045,302016.6806499958,154632540.49279785,0.0003000000142492354
102521,430004240384,1.9805029106140137,307907.70321416855,157648744.0456543,0.0003000000142492354
104806,439588225024,2.053040313720703,315242.077064991,161403943.4572754,0.0003000000142492354
106836,448102662144,1.9679788732528687,321265.01844096184,164487689.44177246,0.0003000000142492354
108386,454603833344,1.9844907093048096,325922.53361034393,166872337.2084961,0.0003000000142492354
110101,461797064704,1.9722072744369508,331041.6681509018,169493334.09326172,0.0003000000142492354
112586,472219910144,1.967842493057251,338603.87119698524,173365182.05285645,0.0003000000142492354
115361,483859103744,1.9659801721572876,347018.2088546753,177673322.93359375,0.0003000000142492354
118901,498706939904,1.9569978094100953,358168.76023101807,183382405.23828125,0.0003000000142492354
121336,508920070144,1.960833568572998,365975.2520637512,187379329.05664062,0.0003000000142492354
