tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Lucie,65024,Arabic,Wikipedia.ar,10.523,0.575,1917.603316783905,1655638539,273803280,2881112641
Lucie,65024,Basque,eus,2.941,2.65,2069.443193912506,3896094623,499999531,1470477523
Lucie,65024,Code,c++,4.13,2.687,384.1240298748016,554859434,49992022,206469672
Lucie,65024,Code,javascript,6.722,2.408,613.9432611465454,809294040,49999987,336114143
Lucie,65024,Code,python,4.002,2.953,403.48676657676697,590864751,49999990,200099748
Lucie,65024,Code,tex,3.88,2.499,334.43700408935547,484856401,49995100,193990190
Lucie,65024,English,Europarl.en,1.225,4.919,270.8131256103516,339370705,56334280,68994922
Lucie,65024,English,Wikipedia.en,1.697,3.244,1752.0988945961,2753108852,499999890,848696582
Lucie,65024,French,Europarl.fr,1.356,4.724,288.1275386810303,338630065,52845204,71676409
Lucie,65024,French,Wikipedia.fr,1.735,3.255,1816.2927691936493,2823112420,499999927,867285042
Lucie,65024,German,Europarl.de,1.627,4.455,270.5373783111572,326931605,45108933,73383642
Lucie,65024,German,Wikipedia.de,2.02,3.246,2018.310083150864,3278956474,499999919,1010002037
Lucie,65024,Italian,Wikipedia.it,1.867,3.055,1816.4053149223328,2851639813,499999419,933485193
Lucie,65024,Spanish,Europarl.es,1.4,4.425,264.20822644233704,324518110,52369273,73342997
Lucie,65024,Spanish,Wikipedia.es,1.722,3.383,1828.0622844696045,2912972152,499999897,861054775
GPT-4,100256,Basque,eus,2.819,2.764,788.1348040103912,3896094623,499999531,1409696398
GPT-4,100256,Code,c++,3.184,3.486,111.69771099090576,554859434,49992022,159174237
GPT-4,100256,Code,javascript,5.014,3.228,158.61896991729736,809294040,49999987,250715696
GPT-4,100256,Code,tex,3.335,2.908,89.72494864463806,484856401,49995100,166722078
GPT-4,100256,English,Europarl.en,1.175,5.127,33.020912885665894,339370705,56334280,66190627
GPT-4,100256,English,Wikipedia.en,1.538,3.581,553.2976582050323,2753108852,499999890,768853856
GPT-4,100256,French,Europarl.fr,1.672,3.833,45.85313129425049,338630065,52845204,88347342
GPT-4,100256,French,Wikipedia.fr,1.856,3.042,659.2245535850525,2823112420,499999927,927943204
GPT-4,100256,German,Europarl.de,1.949,3.719,43.571595191955566,326931605,45108933,87909535
GPT-4,100256,German,Wikipedia.de,2.116,3.099,710.2567582130432,3278956474,499999919,1057912846
GPT-4,100256,Italian,Wikipedia.it,1.898,3.005,657.5301351547241,2851639813,499999419,949002317
GPT-4,100256,Spanish,Europarl.es,1.565,3.96,43.34251141548157,324518110,52369273,81955923
GPT-4,100256,Spanish,Wikipedia.es,1.755,3.319,576.394793510437,2912972152,499999897,877576699
Luciole,128000,Arabic,Wikipedia.ar,1.756,3.443,1317.713758468628,1655638539,273803280,480893265
Luciole,128000,Basque,eus,2.215,3.518,2036.8031907081604,3896094623,499999531,1107453013
Luciole,128000,Code,c++,3.756,2.955,422.29437589645386,554859434,49992022,187785651
Luciole,128000,Code,javascript,6.233,2.597,666.5532140731812,809294040,49999987,311672133
Luciole,128000,Code,python,3.66,3.228,417.6102292537689,590864751,49999990,183023689
Luciole,128000,Code,tex,3.699,2.622,388.64471101760864,484856401,49995100,184920090
Luciole,128000,English,Europarl.en,1.201,5.014,222.3428235054016,339370705,56334280,67680470
Luciole,128000,English,Wikipedia.en,1.687,3.264,1887.9216694831848,2753108852,499999890,843547539
Luciole,128000,French,Europarl.fr,1.287,4.977,222.1887834072113,338630065,52845204,68033596
Luciole,128000,French,Wikipedia.fr,1.746,3.234,1955.316672801972,2823112420,499999927,872841208
Luciole,128000,German,Europarl.de,1.526,4.75,206.5969288349152,326931605,45108933,68826336
Luciole,128000,German,Wikipedia.de,1.991,3.294,2120.6524543762207,3278956474,499999919,995477340
Luciole,128000,Italian,Wikipedia.it,1.804,3.162,1955.6917417049408,2851639813,499999419,901928663
Luciole,128000,Spanish,Europarl.es,1.314,4.716,212.06080198287964,324518110,52369273,68810010
